
Month,gluten free near me: (San Diego CA),Wheat gluten: (San Diego CA),gluten free restaurants near me: (San Diego CA),Gluten: (San Diego CA),Celiac disease: (San Diego CA)
2011-11,0,2,0,64,7
2011-12,0,1,0,49,9
2012-01,0,1,0,64,12
2012-02,0,2,0,70,11
2012-03,0,1,0,63,10
2012-04,0,2,0,64,9
2012-05,0,2,0,64,11
2012-06,0,2,0,68,12
2012-07,0,1,0,68,8
2012-08,0,1,0,70,11
2012-09,0,2,0,66,10
2012-10,0,1,0,70,11
2012-11,0,1,0,79,12
2012-12,0,1,0,76,11
2013-01,0,2,0,80,9
2013-02,0,1,0,78,12
2013-03,0,1,0,86,12
2013-04,0,1,0,81,12
2013-05,0,1,0,87,11
2013-06,<1,2,0,82,10
2013-07,0,1,0,85,11
2013-08,<1,1,0,87,13
2013-09,<1,1,0,83,10
2013-10,<1,1,<1,86,10
2013-11,<1,2,0,99,10
2013-12,0,2,0,85,10
2014-01,0,2,0,89,9
2014-02,<1,2,0,92,7
2014-03,1,1,<1,89,10
2014-04,<1,1,<1,83,13
2014-05,<1,2,<1,100,10
2014-06,0,2,0,73,11
2014-07,0,1,0,70,10
2014-08,0,1,0,70,9
2014-09,<1,1,<1,59,8
2014-10,<1,1,0,78,10
2014-11,0,1,0,80,6
2014-12,1,1,<1,73,7
2015-01,<1,2,0,78,7
2015-02,0,1,0,69,10
2015-03,1,1,0,71,9
2015-04,0,2,0,68,9
2015-05,1,1,<1,69,9
2015-06,0,2,0,70,7
2015-07,1,2,0,75,11
2015-08,1,3,<1,68,11
2015-09,1,1,<1,65,8
2015-10,<1,2,0,60,10
2015-11,<1,1,0,76,10
2015-12,1,1,0,68,9
2016-01,<1,3,<1,75,8
2016-02,1,1,1,67,9
2016-03,1,2,<1,74,8
2016-04,1,2,<1,68,10
2016-05,2,1,<1,70,9
2016-06,1,2,1,71,9
2016-07,2,2,<1,71,7
2016-08,1,2,<1,68,10
2016-09,1,2,0,67,9
2016-10,2,1,1,71,7
2016-11,2,1,1,75,6
2016-12,2,2,1,80,9
2017-01,2,2,1,68,6
2017-02,2,2,0,79,8
2017-03,3,2,<1,77,8
2017-04,2,2,<1,75,9
2017-05,2,2,1,78,8
2017-06,2,3,<1,77,8
2017-07,2,2,<1,78,8
2017-08,2,4,0,79,8
2017-09,2,2,1,75,7
2017-10,2,2,<1,69,10
2017-11,3,2,1,79,8
2017-12,2,1,<1,78,9
2018-01,2,2,<1,79,9
2018-02,2,3,1,78,10
2018-03,4,1,1,77,9
2018-04,3,2,1,78,9
2018-05,3,2,1,69,10
2018-06,4,3,1,85,7
2018-07,4,2,1,77,8
2018-08,3,1,1,79,8
2018-09,4,2,1,80,9
2018-10,3,2,<1,72,8
2018-11,4,2,1,82,7
2018-12,2,2,1,88,8
2019-01,4,2,1,80,10
2019-02,3,1,1,73,9
2019-03,10,7,4,97,6
